Metric		Current
UNIT_SIZE_COMPONENT_BACKEND_SRC_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_BACKEND_SRC_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_BACKEND_SRC_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_BACKEND_SRC_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_BACKEND_SRC_VERY_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_CYPRESS_E2E_NEGLIGIBLE_RISK_LOC		5
UNIT_SIZE_COMPONENT_CYPRESS_E2E_NEGLIGIBLE_RISK_PERCENTAGE		14.71
UNIT_SIZE_COMPONENT_CYPRESS_E2E_NEGLIGIBLE_RISK_COUNT		2
UNIT_SIZE_COMPONENT_CYPRESS_E2E_LOW_RISK_LOC		29
UNIT_SIZE_COMPONENT_CYPRESS_E2E_LOW_RISK_PERCENTAGE		85.29
UNIT_SIZE_COMPONENT_CYPRESS_E2E_LOW_RISK_COUNT		2
UNIT_SIZE_COMPONENT_CYPRESS_E2E_MEDIUM_RISK_LOC		0
UNIT_SIZE_COMPONENT_CYPRESS_E2E_MEDIUM_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_CYPRESS_E2E_MEDIUM_RISK_COUNT		0
UNIT_SIZE_COMPONENT_CYPRESS_E2E_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_CYPRESS_E2E_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_CYPRESS_E2E_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_CYPRESS_E2E_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_CYPRESS_E2E_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_CYPRESS_E2E_VERY_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_CYPRESS_SUPPORT_NEGLIGIBLE_RISK_LOC		9
UNIT_SIZE_COMPONENT_CYPRESS_SUPPORT_NEGLIGIBLE_RISK_PERCENTAGE		100
UNIT_SIZE_COMPONENT_CYPRESS_SUPPORT_NEGLIGIBLE_RISK_COUNT		1
UNIT_SIZE_COMPONENT_CYPRESS_SUPPORT_LOW_RISK_LOC		0
UNIT_SIZE_COMPONENT_CYPRESS_SUPPORT_LOW_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_CYPRESS_SUPPORT_LOW_RISK_COUNT		0
UNIT_SIZE_COMPONENT_CYPRESS_SUPPORT_MEDIUM_RISK_LOC		0
UNIT_SIZE_COMPONENT_CYPRESS_SUPPORT_MEDIUM_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_CYPRESS_SUPPORT_MEDIUM_RISK_COUNT		0
UNIT_SIZE_COMPONENT_CYPRESS_SUPPORT_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_CYPRESS_SUPPORT_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_CYPRESS_SUPPORT_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_CYPRESS_SUPPORT_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_CYPRESS_SUPPORT_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_CYPRESS_SUPPORT_VERY_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_ROOT_NEGLIGIBLE_RISK_LOC		2
UNIT_SIZE_COMPONENT_ROOT_NEGLIGIBLE_RISK_PERCENTAGE		100
UNIT_SIZE_COMPONENT_ROOT_NEGLIGIBLE_RISK_COUNT		1
UNIT_SIZE_COMPONENT_ROOT_LOW_RISK_LOC		0
UNIT_SIZE_COMPONENT_ROOT_LOW_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_ROOT_LOW_RISK_COUNT		0
UNIT_SIZE_COMPONENT_ROOT_MEDIUM_RISK_LOC		0
UNIT_SIZE_COMPONENT_ROOT_MEDIUM_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_ROOT_MEDIUM_RISK_COUNT		0
UNIT_SIZE_COMPONENT_ROOT_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_ROOT_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_ROOT_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_ROOT_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_ROOT_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_ROOT_VERY_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_SPL_COVERAGE_NEGLIGIBLE_RISK_LOC		78
UNIT_SIZE_COMPONENT_SPL_COVERAGE_NEGLIGIBLE_RISK_PERCENTAGE		41.94
UNIT_SIZE_COMPONENT_SPL_COVERAGE_NEGLIGIBLE_RISK_COUNT		14
UNIT_SIZE_COMPONENT_SPL_COVERAGE_LOW_RISK_LOC		36
UNIT_SIZE_COMPONENT_SPL_COVERAGE_LOW_RISK_PERCENTAGE		19.35
UNIT_SIZE_COMPONENT_SPL_COVERAGE_LOW_RISK_COUNT		2
UNIT_SIZE_COMPONENT_SPL_COVERAGE_MEDIUM_RISK_LOC		72
UNIT_SIZE_COMPONENT_SPL_COVERAGE_MEDIUM_RISK_PERCENTAGE		38.71
UNIT_SIZE_COMPONENT_SPL_COVERAGE_MEDIUM_RISK_COUNT		3
UNIT_SIZE_COMPONENT_SPL_COVERAGE_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_SPL_COVERAGE_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_SPL_COVERAGE_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_SPL_COVERAGE_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_SPL_COVERAGE_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_SPL_COVERAGE_VERY_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_SPL_SRC_NEGLIGIBLE_RISK_LOC		70
UNIT_SIZE_COMPONENT_SPL_SRC_NEGLIGIBLE_RISK_PERCENTAGE		33.02
UNIT_SIZE_COMPONENT_SPL_SRC_NEGLIGIBLE_RISK_COUNT		10
UNIT_SIZE_COMPONENT_SPL_SRC_LOW_RISK_LOC		0
UNIT_SIZE_COMPONENT_SPL_SRC_LOW_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_SPL_SRC_LOW_RISK_COUNT		0
UNIT_SIZE_COMPONENT_SPL_SRC_MEDIUM_RISK_LOC		76
UNIT_SIZE_COMPONENT_SPL_SRC_MEDIUM_RISK_PERCENTAGE		35.85
UNIT_SIZE_COMPONENT_SPL_SRC_MEDIUM_RISK_COUNT		2
UNIT_SIZE_COMPONENT_SPL_SRC_HIGH_RISK_LOC		66
UNIT_SIZE_COMPONENT_SPL_SRC_HIGH_RISK_PERCENTAGE		31.13
